run,model,total_pairs,classification_pairs,recommendation_pairs,decision_answering_pairs,label_flips,label_flip_rate,recommendation_flips,recommendation_flip_rate,choice_flips,choice_flip_rate,ranking_changed,ranking_changed_rate,any_decision_flips,any_decision_flip_rate,confidence_shift_mean,confidence_shift_max,reasoning_similarity_mean,reasoning_similarity_median,reasoning_similarity_min,reasoning_similarity_lt_080,reasoning_similarity_lt_065,reasoning_length_shift_mean,reasoning_length_shift_max
run1,llama,564,195,174,195,0,0.0,0,0.0,1,0.005128205128205128,0,0.0,1,0.0017730496453900709,0.0549645390070922,2,0.7348035460992908,0.7929999999999999,0.0176,286,184,2.728723404255319,22
run1,mistral,564,195,174,195,1,0.005128205128205128,0,0.0,0,0.0,0,0.0,1,0.0017730496453900709,0.07092198581560284,2,0.7921342198581561,0.8511,0.0542,231,142,2.6365248226950353,22
run1,qwen,564,195,174,195,0,0.0,4,0.022988505747126436,3,0.015384615384615385,4,0.022988505747126436,7,0.012411347517730497,0.005319148936170213,1,0.7991148936170213,0.8479,0.2294,243,145,1.7943262411347518,16
run2,llama,564,195,174,195,0,0.0,0,0.0,11,0.05641025641025641,2,0.011494252873563218,11,0.01950354609929078,0.09397163120567376,2,0.7131328014184397,0.7604500000000001,0.0148,309,206,3.1117021276595747,31
run2,mistral,564,195,174,195,1,0.005128205128205128,0,0.0,1,0.005128205128205128,0,0.0,2,0.0035460992907801418,0.05673758865248227,2,0.8013482269503546,0.8864,0.135,230,151,2.400709219858156,31
run2,qwen,564,195,174,195,0,0.0,0,0.0,7,0.035897435897435895,0,0.0,7,0.012411347517730497,0.02127659574468085,2,0.7640656028368794,0.8044,0.2316,277,180,1.8528368794326242,12
