model,total_pairs,classification_pairs,recommendation_pairs,decision_answering_pairs,label_flips,label_flip_rate,recommendation_flips,recommendation_flip_rate,choice_flips,choice_flip_rate,any_decision_flips,any_decision_flip_rate,confidence_shift_mean,confidence_shift_max,reasoning_similarity_mean,reasoning_similarity_median,reasoning_similarity_min,reasoning_similarity_lt_080,reasoning_similarity_lt_065,reasoning_length_shift_mean,reasoning_length_shift_max
llama,564,195,174,195,0,0.0,0,0.0,11,0.05641025641025641,11,0.01950354609929078,0.09397163120567376,2,0.7131328014184397,0.7604500000000001,0.0148,309,206,3.1117021276595747,31
mistral,564,195,174,195,1,0.005128205128205128,0,0.0,1,0.005128205128205128,2,0.0035460992907801418,0.05673758865248227,2,0.8013482269503546,0.8864,0.135,230,151,2.400709219858156,31
qwen,564,195,174,195,0,0.0,0,0.0,7,0.035897435897435895,7,0.012411347517730497,0.02127659574468085,2,0.7640656028368794,0.8044,0.2316,277,180,1.8528368794326242,12
