model,task,pairs,label_flips,recommendation_flips,choice_flips,ranking_changed,confidence_shift_mean,reasoning_similarity_mean,reasoning_similarity_median
llama,classification,195,0,0,0,0,0.02564102564102564,0.8512661538461539,0.9221
llama,decision_answering,195,0,0,11,0,0.20512820512820512,0.7441128205128207,0.7544
llama,recommendation,174,0,0,0,2,0.04597701149425287,0.5236091954022989,0.52365
mistral,classification,195,1,0,0,0,0.005128205128205128,0.8600994871794873,1.0
mistral,decision_answering,195,0,0,1,0,0.10256410256410256,0.8313235897435898,0.9258
mistral,recommendation,174,0,0,0,0,0.06321839080459771,0.7019132183908046,0.6976
qwen,classification,195,0,0,0,0,0.0,0.7406138461538461,0.766
qwen,decision_answering,195,0,0,7,0,0.06153846153846154,0.7726630769230769,0.796
qwen,recommendation,174,0,0,0,0,0.0,0.7807126436781608,0.8258000000000001
