model,task,pairs,label_flips,recommendation_flips,choice_flips,ranking_changed,confidence_shift_mean,reasoning_similarity_mean,reasoning_similarity_median
llama,classification,195,0,0,0,0,0.05641025641025641,0.7949615384615384,0.8963
llama,decision_answering,195,0,0,1,0,0.06666666666666667,0.7896707692307692,0.831
llama,recommendation,174,0,0,0,0,0.040229885057471264,0.6058959770114941,0.6432
mistral,classification,195,1,0,0,0,0.010256410256410256,0.7943225641025641,0.8589
mistral,decision_answering,195,0,0,0,0,0.12307692307692308,0.8208451282051281,0.8618
mistral,recommendation,174,0,0,0,0,0.08045977011494253,0.7575057471264368,0.8268500000000001
qwen,classification,195,0,0,0,0,0.0,0.8063538461538462,0.8696
qwen,decision_answering,195,0,0,3,0,0.015384615384615385,0.7841420512820512,0.8257
qwen,recommendation,174,0,4,0,4,0.0,0.807782183908046,0.84255
